date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,SR_High_1,SR_High_2,SR_High_3,SR_Low_1,SR_Low_2,SR_Low_3,chart_pattern,candle_pattern
2019-09-20,1.35000002,1.70000005,1.35000002,1.70000005,600,1.67633337,1.83660001,1.66049027,1.66741880,1.68456793,1.89312235,-0.01693974,48.54670001,1.58168091,1.66450003,1.74731915,9.95123040,0.71432262,0.05494720,11800.00000000,100.00000000,100.00000000,66.66666667,166.66666667,1.58333337,1.10000002,64.47263319,3.06334474,86.02229048,-92.64701537,0.00000000,0.00000000,46.43926439,0.04248531,0.04248531,1.48546789,1.66741880,1.84936971,1.10000002,1.40000004,1.70000005,3.83482675,31.03167543,0.00180500,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-09-23,1.70000005,1.70000005,1.70000005,1.70000005,100,1.67633337,1.83210001,1.66767387,1.67052178,1.68556355,1.88929815,-0.01250540,48.54670001,1.58168091,1.66450003,1.74731915,9.95123040,0.71432262,0.05233030,11800.00000000,100.00000000,100.00000000,88.88888889,122.22222222,1.70000005,1.11200002,66.51907373,3.06334474,86.02229048,78.92158263,0.00000000,0.00000000,47.01713568,0.04248531,0.04248531,1.50589952,1.67052178,1.83514403,1.10000002,1.40000004,1.70000005,3.83482675,31.03167543,0.00180500,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-09-25,1.60000002,1.88999999,1.60000002,1.64999998,18400,1.67466670,1.82560001,1.66926929,1.67110740,1.68414042,1.88088532,-0.00994240,40.51397342,1.58061203,1.66200003,1.74338802,9.79398259,0.42627877,0.06127578,-6600.00000000,89.87341692,89.87341692,96.62447231,76.37130614,1.71333333,1.13528482,67.34161667,19.35312643,63.58518535,96.13520728,-30.37974925,-2.94118050,82.34352732,0.04175116,0.04175116,1.48111050,1.67110740,1.86110429,1.10000002,1.49500001,1.88999999,3.68025180,32.70946509,0.00174316,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,Spinning Top
2019-09-26,1.64999998,1.64999998,1.64999998,1.64999998,200,1.67300003,1.82210001,1.66576578,1.66909717,1.68193781,1.87631334,-0.01065466,40.51397342,1.57988215,1.65950002,1.73911790,9.59540492,0.44033976,0.05835753,-6600.00000000,79.74683383,79.74683383,89.87341692,59.49366766,1.64999998,1.16547343,66.34087505,19.35312643,63.58518535,8.42905564,-30.37974925,-2.94118050,81.77280221,0.04084311,0.04084311,1.49719521,1.66909717,1.84099912,1.10000002,1.49500001,1.88999999,3.76326310,32.70946509,0.00166816,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-10-04,2.00000000,2.00000000,2.00000000,2.00000000,100,1.67466669,1.80360001,1.71836584,1.69380883,1.69398602,1.85765181,0.01716229,77.37974467,1.50107487,1.66800001,1.83492515,20.01500463,1.49445773,0.06021412,-6500.00000000,79.74683383,79.74683383,72.99577844,93.24894461,2.00000000,1.32287118,58.31665689,47.24939709,41.59066204,428.15725577,0.00000000,21.95122026,92.86657852,0.08563079,0.08563079,1.53284759,1.69380883,1.85477006,1.10000002,1.55000001,2.00000000,2.60707683,73.06952326,0.00733263,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-10-07,1.38999999,1.64999998,1.38999999,1.64999998,500,1.67300002,1.80010001,1.70593569,1.68963656,1.69114821,1.85353989,0.01114567,46.87621059,1.50107487,1.66800001,1.83492515,20.01500463,0.44608353,0.08639664,-7000.00000000,76.91045292,76.91045292,75.42584583,79.87966710,1.56333332,1.36349891,56.90424876,28.64919943,64.58408202,-104.67662744,-38.88889198,-2.94118050,89.38523470,0.08563079,0.08563079,1.42781449,1.68963656,1.95145862,1.10000002,1.55000001,2.00000000,5.11862031,100.35088569,0.00733263,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-10-08,1.64999998,1.64999998,1.64999998,1.64999998,100,1.67133335,1.79660001,1.69576556,1.68586164,1.68849349,1.84950940,0.00630478,46.87621059,1.50275921,1.66900001,1.83524080,19.92100602,0.44285390,0.08228218,-7000.00000000,69.08831648,69.08831648,75.24853441,56.76788062,1.64999998,1.38999999,55.59272727,28.64919943,64.58408202,-2.40967121,-38.88889198,0.00000000,90.26502983,0.08527973,0.08527973,1.44897501,1.68586164,1.92274828,1.10000002,1.55000001,2.00000000,6.93363371,99.81661201,0.00727263,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-10-09,1.64999998,1.64999998,1.64999998,1.64999998,100,1.66966668,1.79310001,1.68744454,1.68244625,1.68601004,1.84555872,0.00244021,46.87621059,1.50447055,1.67000001,1.83552947,19.82388743,0.43958771,0.07836368,-7000.00000000,51.13959695,51.13959695,65.71278879,21.99321329,1.64999998,1.38999999,54.37488617,28.64919943,64.58408202,-3.64744787,-38.88889198,1.22699264,91.10119713,0.08491482,0.08491482,1.46812024,1.68244625,1.89677225,1.10000002,1.55000001,2.00000000,8.36362833,99.71822508,0.00721053,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-10-10,1.60000002,1.70000005,1.60000002,1.70000005,800,1.66966668,1.79010001,1.68972736,1.68411804,1.68691262,1.84267637,0.00337321,50.12749168,1.51221179,1.67500001,1.83778822,19.43739881,0.57678701,0.07939405,-6200.00000000,47.70912132,47.70912132,55.97901159,31.16934080,1.66666671,1.42659999,52.83399625,30.24175706,59.76676348,12.71016375,-33.33332852,4.29448160,91.42604210,0.08350859,0.08350859,1.47115641,1.68411804,1.89707966,1.10000002,1.55000001,2.00000000,9.27478852,100.23123195,0.00697369,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-10-11,1.70000005,1.70000005,1.70000005,1.70000005,100,1.66966668,1.78720001,1.69159512,1.68563061,1.68775697,1.83985109,0.00406576,50.12749168,1.52062622,1.68000001,1.83937380,18.97306975,0.56274570,0.07561312,-6200.00000000,49.26440123,49.26440123,49.37103984,49.05112402,1.70000005,1.46100399,51.40317018,30.24175706,59.76676348,46.81197999,-33.33332852,6.25000180,92.27040294,0.08175703,0.08175703,1.49295104,1.68563061,1.87831018,1.10000002,1.55000001,2.00000000,10.10411428,99.95686985,0.00668421,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,Flag/Pennant,
