date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,SR_High_1,SR_High_2,SR_High_3,SR_Low_1,SR_Low_2,SR_Low_3,chart_pattern,candle_pattern
2023-06-21 13:30:00,0.69999999,0.70400000,0.67000002,0.67245102,99461,0.69584336,0.69247451,0.67633113,0.68472451,0.68899586,0.69307357,-0.00921548,43.35147324,0.65375883,0.68997254,0.72618626,10.49714691,0.25808167,0.01717093,111167.00000000,11.88141743,11.88141743,14.62313102,6.39799027,0.68215035,0.66000003,17.79871846,27.82757231,24.57327810,-40.04676017,-84.41677568,-6.60402889,42.59923277,0.01857724,0.01857724,0.65011761,0.68472451,0.71933140,0.66000003,0.69995001,0.73989999,5.78805798,23.84474973,0.00034511,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-21 14:30:00,0.67009997,0.67949998,0.66680002,0.67474997,25889,0.69492170,0.69196101,0.67604365,0.68377455,0.68807677,0.69271073,-0.00882499,44.25125184,0.65264133,0.68821004,0.72377875,10.33658616,0.31078774,0.01695682,137056.00000000,17.36276039,17.36276039,14.08412056,23.92004005,0.68040162,0.66070002,16.76889243,26.33662534,24.60669213,-71.62277361,-81.53949013,-7.58115484,35.34994523,0.01824636,0.01824636,0.65004451,0.68377455,0.71750459,0.66000003,0.69460002,0.72920001,5.67966894,23.15821349,0.00033293,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-21 15:30:00,0.67940003,0.67949998,0.67000002,0.67460001,12933,0.69374003,0.69150801,0.67578117,0.68290079,0.68720730,0.69235210,-0.00843044,44.20316396,0.65447131,0.68557004,0.71666877,9.07237095,0.32362570,0.01659980,124123.00000000,23.26150471,23.26150471,17.50189418,34.78072577,0.67986837,0.66156602,15.81276966,25.24694330,23.58858636,-60.25622427,-78.90175691,-4.98591141,38.84734328,0.01595331,0.01595331,0.65057362,0.68290079,0.71522796,0.66000003,0.69375002,0.72750002,5.57010838,21.44089552,0.00025451,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-21 16:30:00,0.67449999,0.67900002,0.67000002,0.67000002,11678,0.69297336,0.69114350,0.67473005,0.68167214,0.68609715,0.69190949,-0.00839221,42.70832858,0.65561952,0.68307004,0.71052057,8.03739640,0.26193491,0.01623603,112445.00000000,21.89756435,21.89756435,20.84060982,24.01147342,0.67933351,0.66241470,14.92506572,24.22436295,22.63317466,-62.72517578,-85.18519781,-7.89111630,36.58567218,0.01408182,0.01408182,0.65070946,0.68167214,0.71263482,0.66000003,0.69000003,0.72000003,5.44997585,19.15475009,0.00019830,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-21 17:30:00,0.67439997,0.67940003,0.67000002,0.67940003,9013,0.69247003,0.69090750,0.67557914,0.68145575,0.68566508,0.69166177,-0.00751675,46.58420929,0.65808382,0.68128504,0.70448627,6.81101729,0.45937683,0.01590890,121458.00000000,24.48524468,24.48524468,23.21477125,27.02619155,0.67915964,0.66324641,14.12933086,23.35426870,21.64699347,-38.92877327,-67.66666667,-5.63888865,39.54099853,0.01190198,0.01190198,0.65165142,0.68145575,0.71126008,0.66000003,0.68995002,0.71990001,5.35197257,19.96285254,0.00014166,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-21 18:30:00,0.67890000,0.69199997,0.67750001,0.69169998,17072,0.69230670,0.69086750,0.67851020,0.68243139,0.68605443,0.69166253,-0.00576400,51.12689960,0.66057781,0.68037004,0.70016228,5.81807849,0.78622178,0.01584150,138530.00000000,34.00109093,34.00109093,26.79463332,48.41400615,0.67992642,0.66406148,14.23385326,27.64317210,20.18588578,41.68267628,-47.07852991,-3.27227106,43.59500596,0.01015320,0.01015320,0.65270367,0.68243139,0.71215911,0.66000003,0.68995002,0.71990001,5.15378583,21.13701007,0.00010309,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,Head and Shoulders,
2023-06-21 19:30:00,0.69169998,0.69169998,0.67940003,0.67940003,15907,0.69163336,0.69067350,0.67867199,0.68214269,0.68562511,0.69141971,-0.00530627,46.93572017,0.66041149,0.68006005,0.69970860,5.77847699,0.48320444,0.01567210,122623.00000000,43.13324408,43.13324408,33.87319323,61.65334578,0.68022256,0.66486025,14.33089888,26.03768008,19.01350663,20.97632496,-67.61267700,-4.30985223,47.25199204,0.01007950,0.01007950,0.65290333,0.68214269,0.71138205,0.66000003,0.68995002,0.71990001,5.04219852,21.81460601,0.00010160,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-28 16:30:00,0.64960003,0.65890002,0.64270002,0.65890002,18529,0.65955283,0.68329436,0.65151516,0.65432384,0.65852769,0.67592515,-0.00508716,48.66089863,0.63593723,0.65176425,0.66759127,4.85666880,0.72543006,0.01545626,58653.00000000,44.29067292,44.29067292,41.15671762,50.55858353,0.65114494,0.63999999,14.32826347,17.16448397,14.81768037,22.89544192,-45.99994514,-1.73004629,28.08516046,0.00811909,0.00811909,0.62610805,0.65432384,0.68253964,0.63999999,0.65750000,0.67500001,3.80034604,20.65122124,0.00006592,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-28 17:30:00,0.64700001,0.65890002,0.64499998,0.65450001,20292,0.65871950,0.68261137,0.65205786,0.65434062,0.65826784,0.67550089,-0.00449075,47.25896722,0.63612184,0.65144175,0.66676166,4.70338590,0.59981325,0.01538209,38361.00000000,49.71167263,49.71167263,46.13610417,56.86280955,0.65146507,0.64037799,13.82891794,16.00235827,13.81444560,22.66976588,-58.57139510,-2.29884908,25.81648470,0.00785895,0.00785895,0.62616442,0.65434062,0.68251682,0.63999999,0.65750000,0.67500001,3.34613014,20.75115827,0.00006176,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-30 13:30:00,0.63319999,0.64800000,0.62599999,0.63010001,12724,0.64465940,0.67631784,0.63227823,0.63895416,0.64467795,0.66740870,-0.00876164,42.68141913,0.61775205,0.64046980,0.66318755,7.09409062,0.27176905,0.01587605,-72617.00000000,40.06458875,40.06458875,33.08546470,54.02283683,0.63470000,0.60900003,18.51899543,17.80600728,17.60215771,-42.58707642,-58.38264140,-2.31007294,18.77388600,0.01165396,0.01165396,0.60712008,0.63895416,0.67078824,0.60900003,0.63435000,0.65969998,3.75239468,19.45911296,0.00013581,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,Spinning Top
2023-06-30 14:30:00,0.63000000,0.63999999,0.62000000,0.62000000,25945,0.64332607,0.67577534,0.63004583,0.63714900,0.64308583,0.66646992,-0.00920682,39.74959178,0.61498277,0.63936480,0.66374683,7.62695351,0.10288783,0.01607253,-98562.00000000,33.60589956,33.60589956,35.62410093,29.56949684,0.62931003,0.60978003,17.70279548,16.22540748,18.70268359,-91.18003493,-78.30378531,-3.20062602,18.82410725,0.01250772,0.01250772,0.60453721,0.63714900,0.66976078,0.60900003,0.63435000,0.65969998,4.04121031,20.05766645,0.00015644,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-30 15:30:00,0.62000000,0.62989998,0.62000000,0.62089998,12877,0.64191273,0.67528334,0.62838295,0.63560147,0.64165448,0.66556754,-0.00937890,40.13434093,0.61271399,0.63799235,0.66327071,7.92434646,0.16191699,0.01577846,-85685.00000000,29.39205666,29.39205666,34.35418166,19.46780666,0.62788357,0.61054443,16.94489855,15.49231153,17.85765941,-101.79491837,-76.52867508,-3.30166651,17.69509886,0.01296753,0.01296753,0.60420986,0.63560147,0.66699308,0.60900003,0.63435000,0.65969998,4.30639843,20.03438529,0.00016816,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,Doji
2023-06-30 16:30:00,0.62400001,0.64899999,0.62070000,0.63564998,75674,0.64109773,0.67463984,0.62970423,0.63560609,0.64126710,0.66497511,-0.00823020,46.06172640,0.61253560,0.63733485,0.66213409,7.78217132,0.46602986,0.01637500,-10011.00000000,33.09945219,33.09945219,32.03246947,35.23341763,0.63218601,0.61129354,16.90818133,21.84177986,15.67710149,-18.28720173,-47.43594422,-1.95866890,27.96617840,0.01272174,0.01272174,0.60181368,0.63560609,0.66939850,0.60900003,0.63435000,0.65969998,4.37454710,21.52735108,0.00016184,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-06-30 17:30:00,0.64230001,0.64230001,0.62540001,0.63990003,14293,0.64036440,0.67418784,0.63155801,0.63601504,0.64117890,0.66447858,-0.00689740,47.63048203,0.61251371,0.63703485,0.66155599,7.69852307,0.55842269,0.01640001,4282.00000000,46.77186669,46.77186669,36.42112518,67.47334971,0.63255776,0.61280180,16.87408688,20.25145982,14.53563735,-9.71165631,-39.05319433,-1.37176167,31.02727703,0.01257908,0.01257908,0.60222191,0.63601504,0.66980817,0.60900003,0.63435000,0.65969998,4.36959690,21.68327170,0.00015823,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,Spinning Top
2023-06-30 18:30:00,0.63180000,0.63849998,0.62500000,0.63440001,4999,0.64001440,0.67363884,0.63207474,0.63586123,0.64074155,0.66388296,-0.00621332,45.81968456,0.61222317,0.63668485,0.66114653,7.68407789,0.45329757,0.01632855,-717.00000000,59.98933787,59.98933787,46.62021892,86.72757577,0.63256034,0.61424973,16.79829265,18.94195690,13.76932545,-31.43676279,-49.90137071,-1.78046134,32.39779597,0.01254858,0.01254858,0.60244839,0.63586123,0.66927406,0.60900003,0.63435000,0.65969998,4.30269613,21.82276121,0.00015747,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,Spinning Top
2023-06-30 19:30:00,0.63440001,0.63999999,0.63429999,0.63429999,31958,0.63982107,0.67307484,0.63247933,0.63571254,0.64032597,0.66329716,-0.00561454,45.78644665,0.61322785,0.63544985,0.65767185,6.99410109,0.47412788,0.01582223,-32675.00000000,63.27041757,63.27041757,56.67720738,76.45683797,0.63321208,0.61563974,16.85408373,19.13329800,13.41203836,5.60642968,-50.09864901,-1.10695201,37.54630397,0.01139965,0.01139965,0.60439616,0.63571254,0.66702891,0.60900003,0.63395003,0.65890002,4.18310860,21.70875705,0.00012995,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,Doji
