date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,signal,confidence,rationale_bullish,rationale_bearish,score,expires
2023-06-20 14:30:00,262.44000244,264.95001221,261.8999939,264.68258667,21789579,258.15237681,232.1437471,260.97100689,258.87806337,256.33430512,232.1437471,3.12287077,65.84528855,252.61856701,258.55580139,264.49303577,4.59261355,1.01596289,3.82007298,657577531.0,76.79211301,76.79211301,78.60927878,73.15778148,263.73444047,251.00510057,24.88112808,25.40825364,13.61939439,134.88499878,-10.53200852,2.45116331,57.64073669,3.04573697,3.04573697,251.37665647,258.87806337,266.37947027,247.28999329,257.01000214,266.73001099,1.08611317,15.18924165,9.27651371,Strong Buy,0.98,MACD bullish; Price above BBM (mid band); ATR rising (volatility up); Price above VWAP (bullish); Price above PSAR (bullish); DMIp strong; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout),Price above upper Bollinger Band (overbought); CCI overbought; WILLR overbought; STDDEV high volatility; ROLLING_STD high volatility; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),2,2023-06-20 15:30:00
2023-06-20 15:30:00,264.69659424,268.97000122,264.41000366,268.74990845,19487382,258.70404053,232.82940216,262.38535263,259.81823909,257.13531179,232.86862158,3.54607391,69.27760705,251.68122947,259.08804627,266.49486306,5.71760597,1.1522277,3.85557748,677064913.0,82.53997473,82.53997473,78.04721869,91.5254868,264.56717276,251.94859519,26.12545844,30.72365778,12.46571752,181.44011621,-1.01518768,4.17067275,61.26857374,3.79961684,3.79961684,252.16268093,259.81823909,267.47379725,247.28999329,258.12999725,268.97000122,0.93516816,15.9145103,14.43708816,Strong Buy,0.98,MACD bullish; Price above BBM (mid band); ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); DMIp strong; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout),Price above upper Bollinger Band (overbought); STOCH overbought; K overbought; CCI overbought; WILLR overbought; SMA100 crossed below EMA100; STDDEV high volatility; ROLLING_STD high volatility; Price below Donchian Channel Upper (breakdown),2,2023-06-20 16:30:00
2023-06-20 16:30:00,268.76000977,271.52990723,267.85998535,270.75610352,22537612,259.24184723,233.53736313,263.90730733,260.85994046,258.01407255,233.61886875,3.99727058,70.79749307,251.49945199,259.9713562,268.44326042,6.51756743,1.13650078,3.84667224,699602525.0,92.48956491,92.48956491,83.94055088,109.58759295,265.71348619,253.31030768,27.71836999,33.39317846,11.61310514,205.50314934,-3.19227086,4.90152922,62.20213576,4.34599516,4.34599516,253.23445034,260.85994046,268.48543059,247.28999329,259.40995026,271.52990723,0.8788849,16.01544628,18.88767396,Hold,0.5,MACD bullish; Price above BBM (mid band); ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); DMIp strong; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout),RSI overbought; Price above upper Bollinger Band (overbought); STOCH overbought; K overbought; D overbought; J overbought; CCI overbought; WILLR overbought; STDDEV high volatility; ROLLING_STD high volatility; Price below Donchian Channel Upper (breakdown),0,2023-06-20 17:30:00
2023-06-20 17:30:00,270.75,271.51000977,269.45999146,271.29928589,18328329,259.66449025,234.25515595,265.25130344,261.85416384,258.87118309,234.36501562,4.34855009,71.20250931,251.08578408,260.71482086,270.34385764,7.38664319,1.04961183,3.76052308,717930854.0,97.51174134,97.51174134,90.84709366,110.84103671,266.44646753,255.13226763,29.19717882,32.0735053,11.154164,186.54619211,-0.95141155,7.19482712,67.0845427,4.93959164,4.93959164,254.56443119,261.85416384,269.14389648,247.28999329,259.40995026,271.52990723,0.78507641,13.90197294,24.39956561,Hold,0.5,MACD bullish; Price above BBM (mid band); ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); DMIp strong; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout),RSI overbought; Price above upper Bollinger Band (overbought); STOCH overbought; K overbought; D overbought; J overbought; CCI overbought; WILLR overbought; ROC strong up; STDDEV high volatility; ROLLING_STD high volatility; Price below Donchian Channel Upper (breakdown),-1,2023-06-20 18:30:00
2023-06-20 18:30:00,271.29998779,272.72000122,270.02999878,272.69839478,16591708,260.12977041,234.99273987,266.60532004,262.88694774,259.76326126,235.12409244,4.68582278,72.24365088,250.75204073,261.51174011,272.27143949,8.22884615,1.01984048,3.70920882,734522562.0,97.97786686,97.97786686,95.9930577,101.94748517,267.07083524,256.77203159,30.77277962,32.75620803,10.56420084,172.67580481,-0.08496435,6.3441885,66.32303474,5.51960932,5.51960932,255.77909393,262.88694774,269.99480155,247.28999329,260.00499725,272.72000122,0.65410984,13.46110516,30.46608704,Hold,0.5,MACD bullish; Price above BBM (mid band); ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); DMIp strong; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout),RSI overbought; Price above upper Bollinger Band (overbought); STOCH overbought; K overbought; D overbought; J overbought; CCI overbought; WILLR overbought; ROC strong up; STDDEV high volatility; ROLLING_STD high volatility; Price below Donchian Channel Upper (breakdown),-1,2023-06-20 19:30:00
2023-06-20 19:30:00,272.70001221,274.75,272.32000732,274.45999146,15339809,260.74777018,235.73684082,268.03344212,263.98914238,260.7114374,235.90302113,5.03719431,73.50979941,250.39873739,262.36199036,274.32524333,9.11965407,1.00563175,3.64791026,749862371.0,98.95390948,98.95390948,98.14783923,100.56604999,267.7282296,258.68578795,32.55040502,35.24136252,10.04722418,168.64896261,-1.05611241,6.89358974,66.67596193,6.13701928,6.13701928,257.09537128,263.98914238,270.88291348,254.27000427,264.51000213,274.75,0.49242837,13.50015829,37.66300568,Hold,0.5,MACD bullish; Price above BBM (mid band); ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); DMIp strong; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout),RSI overbought; Price above upper Bollinger Band (overbought); STOCH overbought; K overbought; D overbought; J overbought; CCI overbought; WILLR overbought; ROC strong up; STDDEV high volatility; ROLLING_STD high volatility; Price below Donchian Channel Upper (breakdown),-1,2023-06-20 20:30:00
2023-06-21 13:30:00,275.13000488,276.98999023,265.10998535,267.78869629,63355834,261.06589356,236.40375275,267.98894288,264.35100466,261.16803475,236.53442064,4.72289838,62.22310063,250.91305224,262.87792511,274.84279798,9.10298791,0.70521619,4.04226446,686506537.0,83.62367673,83.62367673,93.51848436,63.83406149,269.96289062,260.93477763,31.34454049,28.02159154,20.42230829,97.67671551,-40.49867793,4.0137928,64.55786227,6.13785028,6.13785028,255.85092511,264.35100466,272.8510842,254.27000427,265.62999725,276.98999023,0.81517288,16.58315672,37.673206,Hold,0.5,MACD bullish; Price above BBM (mid band); ATR rising (volatility up); Price above PSAR (bullish); Strong trend (ADX > 25); DMIp strong; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout),STOCH overbought; K overbought; D overbought; OBV falling (bearish volume); Price below VWAP (bearish); SMA30 crossed below EMA30; STDDEV high volatility; ROLLING_STD high volatility; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),-1,2023-06-21 14:30:00
2023-06-23 17:30:00,262.10910034,262.42999268,258.76000977,259.05999756,17867424,263.25826365,246.60553238,260.57153135,261.32444775,260.95971311,243.95559486,-0.42667458,49.46261516,254.1569688,262.16708603,270.17720326,6.11069632,0.30605225,4.53260972,632536098.0,73.86067707,73.86067707,64.17000656,93.2420181,258.03124413,248.25,28.54637909,17.54695521,31.27236633,-45.81576841,-62.38691289,-4.51136032,37.70261445,4.10910344,4.10910344,252.09068172,261.32444775,270.55821379,248.25,262.61999511,276.98999023,3.8301481,21.68997666,16.88473107,Strong Buy,0.98,ATR rising (volatility up); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); DMIm weak; SMA30 crossed above EMA30; SMA100 crossed above EMA100; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low volatility (HVOL < 20),MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); STDDEV high volatility; ROLLING_STD high volatility; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),3,2023-06-23 18:30:00
2023-06-23 18:30:00,259.02999878,259.04000854,255.11000061,255.44000244,22320237,263.07893016,246.9950824,259.63852609,260.76402439,260.60360275,244.18300887,-0.82287203,46.06930034,254.9413751,261.21608658,267.49079806,4.80423052,0.03973309,4.50480069,610215861.0,63.40295592,63.40295592,68.46062962,53.28760852,257.8129129,248.53359985,29.08484819,16.46268021,35.04994384,-124.47369252,-74.98258565,-6.32874732,34.1450159,3.21885907,3.21885907,251.65728427,260.76402439,269.87076451,248.25,262.61999511,276.98999023,3.78217751,21.890914,10.36105374,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); Strong trend (ADX > 25); CCI oversold; ROC strong down; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low volatility (HVOL < 20),MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); STDDEV high volatility; ROLLING_STD high volatility; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),1,2023-06-23 19:30:00
2023-06-23 19:30:00,255.44999695,257.92001343,254.67999268,256.54998779,13786912,262.88159637,247.40658234,259.07697367,260.36268757,260.3420792,244.42789954,-1.03535983,47.23475032,254.8383473,260.65415115,266.469955,4.46246785,0.14715425,4.44443752,624002773.0,52.33828416,52.33828416,63.20063905,30.61357437,257.69507553,248.81152771,29.6481669,15.61057673,33.9227117,-118.55942942,-71.12042237,-6.5255426,31.28627272,2.98344442,2.98344442,251.50610922,260.36268757,269.21926592,248.25,259.07220459,269.89440918,3.58202231,21.787158,8.90094063,Strong Buy,0.98,ATR rising (volatility up); OBV rising (bullish volume); Price above PSAR (bullish); Strong trend (ADX > 25); CCI oversold; ROC strong down; DMIm weak; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low volatility (HVOL < 20),MACD bearish; Price below BBM (mid band); Price below VWAP (bearish); STDDEV high volatility; ROLLING_STD high volatility; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),3,2023-06-23 20:30:00
