date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,signal,confidence,rationale_bullish,rationale_bearish,score,expires,vol_avg20,strong_signal,confirm_count,confirm_ok,pos,returns,trade_cost,strategy_returns,equity_curve
2020-01-02,1.5,1.5,1.5,1.5,500,1.59600001,1.66100002,1.52341722,1.55734025,1.58193647,1.69509689,-0.04206354,39.66759123,1.44430095,1.5725,1.70069905,16.30512577,0.21723659,0.03593534,-800.0,0.0,0.0,0.0,0.0,1.5,1.48942699,37.30718969,26.56122722,60.20155239,-85.83433104,-100.0,-5.06329354,69.16431729,0.06576473,0.06576473,1.51120838,1.55734025,1.60347212,1.5,1.58499998,1.66999996,8.00653722,39.87329743,0.004325,Strong Buy,0.98,STOCH oversold; K oversold; D oversold; ATR rising (volatility up); Price above PSAR (bullish); Strong trend (ADX > 25); WILLR oversold; ROC strong down; DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Low drawdown (ULCER < 5); Low volatility (HVOL < 20),MACD bearish; Price below BBM (mid band); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),10,2020-01-03,730.0,True,31,True,1,0.0,0.0015,0.0,100000.0
2020-02-05,1.40999997,1.40999997,1.40999997,1.40999997,200,1.47433335,1.61140002,1.45171881,1.46706031,1.48611836,1.6100105,-0.02392877,29.47868442,1.42237204,1.46150003,1.50062802,5.35449698,-0.15809751,0.02233432,1300.0,66.66666667,66.66666667,87.11111289,25.77777422,1.40999997,1.2542,64.92011443,7.89353574,79.2983484,-191.35825941,-36.000012,-6.000002,0.0,0.02007223,0.02007223,1.43693582,1.46706031,1.4971848,1.25,1.375,1.5,2.65705595,15.29649365,0.00040289,Strong Buy,0.98,RSI oversold; Price below lower Bollinger Band (oversold); ATR rising (volatility up); OBV rising (bullish volume); Price above PSAR (bullish); Strong trend (ADX > 25); CCI oversold; ROC strong down; MFI oversold; DMIm weak; SMA100 crossed above EMA100; STDDEV low volatility; ROLLING_STD low volatility; Price above Donchian Channel Lower (breakout),MACD bearish; Price below BBM (mid band); D overbought; SMA30 crossed below EMA30; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),8,2020-02-06,705.0,True,32,True,1,-0.06000001999999993,0.0,-0.06000001999999993,93999.998
2020-02-06,1.40999997,1.40999997,1.39999998,1.39999998,2100,1.47100002,1.60940002,1.44231538,1.46067361,1.48056234,1.60585188,-0.02649527,28.28350562,1.41301439,1.45650003,1.49998567,5.97125194,-0.14964029,0.02174697,-800.0,33.33333333,33.33333333,66.66666667,-33.33333333,1.40333331,1.258316,66.19502797,7.55884698,80.17610589,-187.70241052,-40.000008,-6.666668,0.0,0.02230766,0.02230766,1.43151336,1.46067361,1.48983386,1.25,1.375,1.5,2.7336124,15.32243313,0.00049763,Strong Buy,0.98,RSI oversold; Price below lower Bollinger Band (oversold); J oversold; ATR rising (volatility up); Price above PSAR (bullish); Strong trend (ADX > 25); CCI oversold; ROC strong down; MFI oversold; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Donchian Channel Lower (breakout),MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),7,2020-02-07,785.0,True,33,True,1,-0.0070921916402594265,0.0,-0.0070921916402594265,93333.33200000001
2020-02-25,1.24000001,1.28999996,1.24000001,1.28999996,400,1.37833336,1.56210002,1.27858389,1.32411162,1.36259751,1.53371744,-0.060147,39.65486551,1.1504524,1.33950002,1.52854765,28.22659502,0.36908044,0.05445625,4000.0,71.87366529,71.87366529,68.55882723,78.50334142,1.27333331,0.75,81.53072492,10.98378385,72.17824772,-35.22574947,-23.94367189,-11.64384078,39.5913453,0.09697938,0.09697938,1.19222155,1.32411162,1.45600168,0.75,1.10500002,1.46000004,12.35645185,62.92298964,0.009405,Strong Buy,0.98,ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); ROC strong down; DMIm weak; SMA30 crossed above EMA30; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",9,2020-02-26,775.0,True,34,True,1,-0.07857144397959204,0.0,-0.07857144397959204,85999.99733333333
2020-02-26,1.21000004,1.29999995,1.21000004,1.29999995,2400,1.37300003,1.55860002,1.28247772,1.32181527,1.35855896,1.52908937,-0.05472701,40.79077966,1.15014125,1.33150002,1.51285879,27.24127207,0.41315538,0.05614881,6400.0,78.52468009,78.52468009,72.82448709,89.92506609,1.26999998,0.7608,81.045283,9.86375602,68.21719152,-32.85026672,-22.53522267,-10.95890997,35.10235931,0.09303509,0.09303509,1.18534332,1.32181527,1.45828721,0.75,1.10500002,1.46000004,12.46950211,63.07082956,0.00865553,Strong Buy,0.98,ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",8,2020-02-27,880.0,True,35,True,1,0.0077519304729278815,0.0,0.0077519304729278815,86666.66333333332
2020-02-27,1.20000005,1.29999995,0.80000001,1.29999995,1200,1.36766669,1.55510002,1.28566358,1.31973762,1.35478096,1.52455295,-0.04985692,40.79077966,1.15165414,1.32350001,1.49534588,25.9683973,0.43162459,0.07728459,6400.0,87.21423995,87.21423995,79.20419511,103.23432963,1.1333333,0.782368,81.29925224,6.12623818,73.43970023,-119.74462802,-22.53522267,-10.95890997,33.41201713,0.08815507,0.08815507,1.10102492,1.31973762,1.53845032,0.75,1.10500002,1.46000004,12.42763543,63.07082956,0.00777132,Strong Buy,0.98,ATR rising (volatility up); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); CCI oversold; ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); STOCH overbought; K overbought; J overbought; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",5,2020-02-28,935.0,True,36,True,1,0.0,0.0,0.0,86666.66333333332
2020-02-28,1.21000004,1.29999995,1.20000005,1.29999995,1500,1.36233335,1.54810002,1.28827019,1.31785784,1.3512467,1.52010635,-0.04547314,40.79077966,1.15531573,1.31550001,1.47568428,24.35336749,0.45161804,0.07836627,6400.0,92.1052504,92.1052504,85.94805682,104.41963758,1.26666665,0.80000001,81.53508082,5.66398753,67.89836333,-18.0180395,-22.53522267,-10.95890997,37.609342,0.0821728,0.0821728,1.10092732,1.31785784,1.53478836,0.75,1.10500002,1.46000004,11.82507779,63.07082956,0.00675237,Strong Buy,0.98,ATR rising (volatility up); Price above VWAP (bullish); Price above PSAR (bullish); Strong trend (ADX > 25); ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); STOCH overbought; K overbought; D overbought; J overbought; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",3,2020-02-29,995.0,True,37,True,1,0.0,0.0,0.0,86666.66333333332
2020-03-04,1.20000005,1.20000005,1.20000005,1.20000005,500,1.34400001,1.53660002,1.27539366,1.30370229,1.33550252,1.50530774,-0.04269791,32.88935945,1.17455808,1.2865,1.39844192,17.40255282,0.11363915,0.07245763,5900.0,89.96850012,89.96850012,94.31697393,81.27155251,1.20000005,0.83920001,82.27113467,5.17618145,70.66308928,-69.34862044,-36.61971484,-17.80821801,36.87531815,0.05742499,0.05742499,1.12398884,1.30370229,1.48341574,0.75,1.07999999,1.40999997,10.48525163,68.08274,0.00329763,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); Strong trend (ADX > 25); ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); STOCH overbought; K overbought; D overbought; OBV falling (bearish volume); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",2,2020-03-05,970.0,True,38,True,0,-0.0769230029585769,0.0,-0.0769230029585769,80000.00333333333
2020-03-05,1.20000005,1.20000005,1.20000005,1.20000005,1200,1.33566668,1.53160002,1.26168573,1.29382588,1.32676043,1.49926205,-0.04593099,32.88935945,1.17335502,1.276,1.37864499,16.08855626,0.12979218,0.06900727,5900.0,83.44578941,83.44578941,89.96850012,70.40036799,1.20000005,0.857632,82.56245371,5.17618145,70.66308928,-63.26030409,-31.81817114,-17.80821801,36.87531815,0.05265577,0.05265577,1.131228,1.29382588,1.45642377,0.75,1.07999999,1.40999997,10.45350917,68.08274,0.00277263,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); Strong trend (ADX > 25); ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); STOCH overbought; K overbought; D overbought; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",3,2020-03-06,820.0,True,39,True,0,0.0,0.0,0.0,80000.00333333333
2020-03-06,1.20000005,1.20000005,1.20000005,1.20000005,500,1.32700001,1.52660002,1.25047015,1.28489009,1.31858234,1.49333607,-0.04794059,32.88935945,1.17535789,1.26600001,1.35664213,14.31945016,0.13593108,0.0657212,5900.0,76.9230787,76.9230787,83.44578941,63.87765727,1.20000005,0.87532672,82.83296425,5.17618145,70.66308928,-55.43905084,-31.81817114,-14.89361166,37.2167077,0.04649843,0.04649843,1.13777772,1.28489009,1.43200246,0.75,1.03500002,1.32000005,10.42167003,67.5054057,0.0021621,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); Strong trend (ADX > 25); ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); D overbought; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",5,2020-03-07,830.0,True,40,True,0,0.0,0.0,0.0,80000.00333333333
