date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,signal,confidence,rationale_bullish,rationale_bearish,score,expires,vol_avg20,strong_signal,confirm_count,confirm_ok,pos,returns,trade_cost,strategy_returns,equity_curve
2024-04-12,1.85000002,1.85000002,1.66999996,1.72000003,294200,1.588,3.71483001,1.7371046,1.70575969,1.81249131,3.71483001,-0.0345287,45.04726231,1.26542161,1.621,1.97657839,43.87148548,0.63920985,0.28538849,-10196200.0,64.76190695,64.76190695,70.24645077,53.79281932,1.74666667,1.42991035,22.47466682,23.58166912,20.04908263,54.37995975,-41.77214389,17.00680237,58.30326112,0.18240786,0.18240786,1.28643134,1.70575969,2.12508804,1.25999999,1.65499997,2.04999995,9.79882012,116.07842409,0.03327263,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); Price above PSAR (bullish); DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below VWAP (bearish); ROC strong up; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",5,2024-04-13,294200.0,False,0,False,0,0.0,0.0,0.0,100000.0
2024-04-15,1.74000001,1.82000005,1.63,1.65999997,104500,1.59033333,3.67893001,1.72308557,1.70140162,1.80265316,3.67414031,-0.03685259,44.20326914,1.31018298,1.63799999,1.96581701,40.02649808,0.53355527,0.28081138,-10300700.0,52.85714386,52.85714386,61.9047627,34.76190617,1.70333334,1.44231214,21.21309943,22.15571424,20.10976441,30.11749572,-49.36708858,16.08391804,57.84083204,0.16816658,0.16816658,1.28581882,1.70140162,2.11698442,1.25999999,1.65499997,2.04999995,10.56635055,116.41177903,0.02828,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); Price above PSAR (bullish); DMIp strong; DMIm weak; SMA100 crossed above EMA100; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; OBV falling (bearish volume); Price below VWAP (bearish); ROC strong up; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",5,2024-04-16,199350.0,True,0,False,0,-0.0348837552055159,0.0,-0.0,100000.0
2024-04-16,1.62,1.63,1.47000003,1.52999997,115200,1.591,3.63763001,1.6879791,1.68507766,1.78506263,3.63168208,-0.0486237,42.3961854,1.34729415,1.64799999,1.94870583,36.49342782,0.30379493,0.27645547,-10415900.0,40.95238076,40.95238076,52.85714386,17.14285457,1.54333333,1.45446589,20.21067498,20.80113999,24.02881007,-54.72840126,-65.82278561,15.90908425,57.29097224,0.15425884,0.15425884,1.2728837,1.68507766,2.09727161,1.28999996,1.66999996,2.04999995,11.72662209,116.55502759,0.02379579,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); ROC strong up; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",2,2024-04-17,171300.0,True,1,False,0,-0.07831325442734804,0.0,-0.0,100000.0
2024-05-09,1.34000003,1.5,1.32000005,1.35000002,273800,1.46933332,3.03889,1.32621237,1.37764848,1.46101529,2.96102283,-0.08841789,42.79818124,1.08245626,1.354,1.62554373,40.10985769,0.49263475,0.1834018,-11149100.0,48.42543079,48.42543079,41.30478544,62.6667215,1.39000002,1.15999997,15.29469894,22.42700246,19.69939139,14.61037192,-75.9493632,-29.31936957,32.65521359,0.139299,0.139299,1.12211252,1.37764848,1.63318445,1.15999997,1.50499999,1.85000002,26.2750923,68.93183607,0.01940421,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); ROC strong down; DMIp strong; DMIm weak; SMA30 crossed above EMA30; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",5,2024-05-10,196925.0,True,2,True,0,-0.11764702845059538,0.0,-0.0,100000.0
2024-05-10,1.34000003,1.41999996,1.34000003,1.37,211900,1.46766666,3.00549,1.33417376,1.37692006,1.45514334,2.92951743,-0.07900816,43.43755491,1.12255842,1.33649999,1.55044156,32.01519947,0.57829242,0.17846304,-10937200.0,55.88235668,55.88235668,48.23727397,71.1725221,1.37666666,1.16679997,14.66446378,21.49790703,18.88329416,23.04614627,-69.56521525,-23.03370657,32.09334501,0.10974971,0.10974971,1.13048277,1.37692006,1.62335735,1.15999997,1.49000001,1.82000005,24.24731092,66.81303019,0.012045,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); OBV rising (bullish volume); Price above PSAR (bullish); ROC strong down; DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",8,2024-05-11,199920.0,True,3,True,0,0.014814799780521692,0.0,0.0,100000.0
2024-05-13,1.37,1.39999998,1.28999996,1.34000003,156100,1.46466666,2.97089,1.33523308,1.37340386,1.44771474,2.89804184,-0.07312864,42.68608466,1.16616595,1.3205,1.47483405,23.37509268,0.56317476,0.17519353,-11093300.0,56.86275381,56.86275381,53.72351376,63.1412339,1.34333332,1.17346397,13.64538984,20.25534904,20.41908968,13.45267089,-72.72726694,-22.09302287,34.5538768,0.0791717,0.0791717,1.12948441,1.37340386,1.61732332,1.15999997,1.39499999,1.63,21.92048166,66.44460607,0.00626816,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); Price above PSAR (bullish); ROC strong down; DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; OBV falling (bearish volume); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",6,2024-05-14,192616.66666666666,True,4,True,0,-0.021897788321168066,0.0,-0.0,100000.0
2024-05-14,1.32000005,1.38,1.29999995,1.35000002,141500,1.45899999,2.93369,1.33791798,1.37117493,1.44141056,2.86738754,-0.06689109,43.03103202,1.18947131,1.3115,1.43352869,18.60902645,0.65774987,0.1706481,-10951800.0,56.86275381,56.86275381,56.53595477,57.51635189,1.34333332,1.17999469,12.69915744,19.37811748,19.53476674,28.05759017,-59.57446003,-18.67469612,39.22546057,0.0625994,0.0625994,1.13524779,1.37117493,1.60710207,1.15999997,1.37999999,1.60000002,19.08504348,66.1859679,0.00391868,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",9,2024-05-15,185314.2857142857,True,5,True,0,0.007462678937402822,0.0,0.0,100000.0
2024-05-15,1.38999999,1.38999999,1.30999994,1.33000004,111900,1.445,2.89709,1.33647835,1.36725351,1.43422279,2.83694423,-0.06283727,42.4939518,1.19508931,1.307,1.4189107,17.12481933,0.60276067,0.16632027,-11063700.0,50.71896313,50.71896313,54.81482358,42.52724222,1.34333332,1.1863948,11.8689229,19.07161591,18.66426414,40.33327804,-61.36362485,-13.07189111,39.4981401,0.05740898,0.05740898,1.13855752,1.36725351,1.5959495,1.15999997,1.32999999,1.5,16.29126761,60.90432107,0.00329579,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); Price above PSAR (bullish); ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; OBV falling (bearish volume); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",5,2024-05-16,176137.5,True,6,True,0,-0.01481479978052147,0.0,-0.0,100000.0
2024-05-16,1.29999995,1.35000002,1.27999997,1.31500006,223700,1.43316667,2.85524,1.33257321,1.36227699,1.426531,2.80680672,-0.06014168,42.08034554,1.19478716,1.30575,1.41671285,16.9960324,0.54168087,0.16172221,-11287400.0,42.68729137,42.68729137,50.08966944,27.88253525,1.31500002,1.1926669,11.27250845,18.30305515,19.63920202,5.9252095,-54.41174226,-7.39435936,38.38643005,0.05692274,0.05692274,1.14202823,1.36227699,1.58252575,1.15999997,1.32999999,1.5,13.47965367,55.73573724,0.0032402,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); Price above VWAP (bullish); Price above PSAR (bullish); ROC strong down; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; OBV falling (bearish volume); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",7,2024-05-17,181422.22222222222,True,7,True,0,-0.011278180111934488,0.0,-0.0,100000.0
2024-05-17,1.29999995,1.34899998,1.26999998,1.28499997,138100,1.41766667,2.81199,1.32392353,1.35491727,1.41739997,2.77667193,-0.05973755,41.23745151,1.1931941,1.30450001,1.41580591,17.06491399,0.4124034,0.15777375,-11425500.0,29.829063,29.829063,41.07843917,7.33031066,1.30133331,1.19881356,10.82954253,17.44845847,19.31324943,-12.34658972,-63.23529736,-4.104482,38.9984583,0.05709872,0.05709872,1.14059696,1.35491727,1.56923758,1.15999997,1.32999999,1.5,11.31334558,52.67609657,0.00326026,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),"MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown); HVOL too high, avoid trade",2,2024-05-18,177090.0,True,8,True,0,-0.022813755613060538,0.0,-0.0,100000.0
